Serial Number,How many books did you read during last 12months?,Read any printed books during last 12months?,Read any audiobooks during last 12months?,Read any e-books during last 12months?,"Last book you read, you…",Do you happen to read any daily news or newspapers?,Do you happen to read any magazines or journals?
322,45,Yes,No,Yes,Borrowed the book from a library,Yes,Yes
323,45,Yes,No,No,Purchased the book,Yes,Yes
324,45,Yes,Yes,Yes,Got the book some other way,Yes,Yes
325,43,Yes,No,No,Purchased the book,Yes,No
326,42,Yes,Yes,No,Purchased the book,Yes,Yes
327,40,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes
328,40,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,No
329,40,Yes,No,No,Purchased the book,No,No
330,40,No,No,No,Purchased the book,Yes,Yes
331,40,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
332,40,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
333,40,Yes,No,No,Purchased the book,Yes,Yes
334,40,Yes,No,Yes,Borrowed the book from a library,Yes,No
335,40,Yes,No,Yes,Got the book some other way,Yes,Yes
336,40,Yes,Yes,Yes,Got the book some other way,Yes,Yes
337,40,Yes,Yes,Don’t know,Borrowed the book from a library,No,Yes
338,40,No,Yes,No,Purchased the book,No,No
339,40,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
340,40,Yes,No,Yes,Purchased the book,Yes,Yes
341,40,Yes,No,No,Borrowed the book from a library,Yes,Yes
342,40,Yes,No,Yes,Borrowed the book from a library,No,No
343,40,Yes,No,Yes,Purchased the book,Yes,No
344,40,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,Yes
345,40,Yes,No,No,Purchased the book,No,No
346,40,Yes,Yes,Yes,Purchased the book,Yes,Yes
347,40,Yes,Yes,Yes,Purchased the book,Yes,No
348,40,Yes,No,No,Purchased the book,Yes,Yes
349,40,No,No,No,Purchased the book,No,Yes
350,40,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes
351,40,Yes,Yes,Yes,Borrowed the book from a friend or family member,Yes,Yes
352,40,Yes,No,Yes,Borrowed the book from a friend or family member,No,Yes
353,40,Yes,No,Yes,Purchased the book,Yes,Yes
354,40,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,Yes
355,40,Yes,No,Yes,Got the book some other way,Yes,Yes
356,40,No,No,No,Purchased the book,Yes,No
357,40,Yes,No,Yes,Purchased the book,No,No
358,40,Yes,No,Yes,Borrowed the book from a library,Yes,Yes
359,40,Yes,No,Yes,Purchased the book,Yes,No
360,40,Yes,No,No,Got the book some other way,Yes,No
361,40,Yes,Yes,Yes,Purchased the book,Yes,Yes
362,40,No,No,Yes,Purchased the book,Yes,No
363,40,Yes,Yes,Yes,8,Yes,Yes
364,40,Yes,No,No,Borrowed the book from a library,Yes,No
365,40,Yes,No,Yes,Got the book some other way,Yes,Yes
366,40,Yes,No,Yes,Got the book some other way,No,Yes
367,40,Yes,No,Yes,Purchased the book,Yes,No
368,40,Yes,No,Yes,Borrowed the book from a friend or family member,No,Yes
369,40,Yes,No,No,Got the book some other way,Yes,Yes
370,40,Yes,No,Yes,Borrowed the book from a library,No,Yes
371,40,Yes,No,Yes,Borrowed the book from a library,Yes,Yes
372,40,Yes,Yes,Yes,Borrowed the book from a friend or family member,No,No
373,40,Yes,No,No,Got the book some other way,Yes,Yes
374,40,Yes,No,Yes,Purchased the book,No,Yes
375,40,Yes,No,No,Got the book some other way,Yes,Yes
376,40,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
377,40,Yes,No,No,Purchased the book,Yes,No
378,40,Yes,Yes,No,Purchased the book,Yes,No
379,40,Yes,No,Yes,Purchased the book,No,Yes
380,38,Yes,Yes,Yes,Purchased the book,Yes,Yes
381,37,Yes,Yes,Yes,Purchased the book,No,No
382,36,Yes,No,No,Got the book some other way,No,No
383,36,Yes,No,No,Borrowed the book from a library,Yes,Yes
384,36,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
385,36,Yes,No,No,Borrowed the book from a library,Yes,Yes
386,36,Yes,No,No,Purchased the book,Yes,Yes
387,36,Yes,No,No,Borrowed the book from a library,No,No
388,36,Yes,No,No,Borrowed the book from a friend or family member,No,No
389,36,Yes,No,No,Purchased the book,Yes,Yes
390,36,Yes,No,Yes,Purchased the book,No,Yes
391,36,Yes,No,No,Borrowed the book from a library,Yes,Yes
392,36,No,No,Yes,Purchased the book,Yes,No
393,36,Yes,Yes,Yes,Purchased the book,Yes,Yes
394,36,Yes,Yes,Yes,Got the book some other way,Yes,Yes
395,36,Yes,No,No,Purchased the book,No,No
396,36,Yes,Yes,No,Borrowed the book from a friend or family member,Yes,No
397,36,Yes,No,No,Purchased the book,Yes,Yes
398,35,Yes,Yes,Yes,Purchased the book,Yes,Yes
399,35,Yes,No,No,Purchased the book,Yes,Yes
400,35,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
401,35,Yes,Yes,No,Borrowed the book from a library,Yes,Yes
402,35,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
403,35,No,No,Yes,Purchased the book,No,No
404,35,Yes,No,No,Purchased the book,No,Yes
405,35,Yes,No,Yes,Purchased the book,Yes,Yes
406,35,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
407,35,Yes,No,Yes,Borrowed the book from a library,Yes,Yes
408,35,Yes,Yes,Yes,Purchased the book,Yes,Yes
409,35,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,No
410,35,Yes,No,Yes,Got the book some other way,Yes,Yes
411,35,Yes,Yes,No,Purchased the book,Yes,Yes
412,35,Yes,No,No,Borrowed the book from a friend or family member,No,No
413,32,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
414,32,Yes,No,No,Purchased the book,Yes,Yes
415,32,Yes,No,No,Purchased the book,No,No
416,30,No,Yes,No,Purchased the book,No,No
